id,clima,pais,dinheiro,decisao,clima_cod,pais_cod,dinheiro_cod,ruido
1,Vento,Sim,Rico,Cinema,1,1,1,0
2,Chuva,Nao,Pobre,Cinema,2,0,0,0
3,Vento,Sim,Rico,Cinema,1,1,1,0
4,Sol,Sim,Rico,Cinema,0,1,1,0
5,Sol,Nao,Pobre,Tenis,0,0,0,1
6,Vento,Sim,Rico,Cinema,1,1,1,0
7,Vento,Sim,Rico,Cinema,1,1,1,0
8,Vento,Nao,Pobre,Cinema,1,0,0,0
9,Chuva,Sim,Rico,Cinema,2,1,1,0
10,Vento,Nao,Rico,Compras,1,0,1,0
11,Sol,Sim,Rico,Tenis,0,1,1,1
12,Chuva,Sim,Rico,Cinema,2,1,1,0
13,Sol,Sim,Rico,Cinema,0,1,1,0
14,Vento,Sim,Rico,Cinema,1,1,1,0
15,Sol,Sim,Rico,Cinema,0,1,1,0
16,Vento,Sim,Rico,Cinema,1,1,1,0
17,Sol,Nao,Pobre,Cinema,0,0,0,0
18,Sol,Nao,Rico,Tenis,0,0,1,0
19,Sol,Sim,Pobre,Cinema,0,1,0,0
20,Sol,Sim,Pobre,Cinema,0,1,0,0
21,Chuva,Sim,Rico,Cinema,2,1,1,0
22,Chuva,Sim,Rico,Cinema,2,1,1,0
23,Chuva,Sim,Rico,Cinema,2,1,1,0
24,Vento,Sim,Rico,Cinema,1,1,1,0
25,Sol,Nao,Pobre,Cinema,0,0,0,0
26,Sol,Nao,Pobre,Cinema,0,0,0,0
27,Vento,Sim,Rico,Ficar em casa,1,1,1,1
28,Chuva,Sim,Rico,Cinema,2,1,1,0
29,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
30,Vento,Sim,Pobre,Cinema,1,1,0,0
31,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
32,Sol,Nao,Pobre,Cinema,0,0,0,0
33,Vento,Sim,Pobre,Cinema,1,1,0,0
34,Sol,Sim,Rico,Cinema,0,1,1,0
35,Chuva,Sim,Rico,Cinema,2,1,1,0
36,Sol,Nao,Rico,Tenis,0,0,1,0
37,Vento,Nao,Rico,Compras,1,0,1,0
38,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
39,Sol,Sim,Rico,Cinema,0,1,1,0
40,Sol,Sim,Rico,Cinema,0,1,1,0
41,Sol,Nao,Pobre,Tenis,0,0,0,1
42,Sol,Sim,Rico,Cinema,0,1,1,0
43,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
44,Vento,Sim,Rico,Cinema,1,1,1,0
45,Vento,Nao,Rico,Compras,1,0,1,0
46,Vento,Sim,Pobre,Cinema,1,1,0,0
47,Sol,Sim,Rico,Cinema,0,1,1,0
48,Sol,Sim,Pobre,Ficar em casa,0,1,0,1
49,Sol,Nao,Rico,Cinema,0,0,1,1
50,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
51,Sol,Sim,Rico,Cinema,0,1,1,0
52,Chuva,Sim,Pobre,Cinema,2,1,0,0
53,Vento,Nao,Pobre,Cinema,1,0,0,0
54,Chuva,Sim,Rico,Cinema,2,1,1,0
55,Vento,Nao,Pobre,Ficar em casa,1,0,0,1
56,Vento,Nao,Rico,Ficar em casa,1,0,1,1
57,Sol,Sim,Rico,Cinema,0,1,1,0
58,Sol,Sim,Pobre,Cinema,0,1,0,0
59,Vento,Nao,Rico,Compras,1,0,1,0
60,Vento,Nao,Rico,Compras,1,0,1,0
61,Sol,Sim,Rico,Cinema,0,1,1,0
62,Vento,Nao,Rico,Compras,1,0,1,0
63,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
64,Sol,Nao,Pobre,Cinema,0,0,0,0
65,Vento,Sim,Pobre,Cinema,1,1,0,0
66,Vento,Nao,Rico,Ficar em casa,1,0,1,1
67,Sol,Nao,Pobre,Cinema,0,0,0,0
68,Sol,Sim,Rico,Cinema,0,1,1,0
69,Vento,Nao,Rico,Compras,1,0,1,0
70,Sol,Sim,Pobre,Cinema,0,1,0,0
71,Sol,Sim,Rico,Tenis,0,1,1,1
72,Vento,Sim,Pobre,Cinema,1,1,0,0
73,Vento,Sim,Rico,Cinema,1,1,1,0
74,Chuva,Nao,Pobre,Cinema,2,0,0,0
75,Sol,Sim,Rico,Cinema,0,1,1,0
76,Chuva,Nao,Pobre,Cinema,2,0,0,0
77,Sol,Sim,Pobre,Cinema,0,1,0,0
78,Vento,Nao,Rico,Compras,1,0,1,0
79,Chuva,Nao,Pobre,Cinema,2,0,0,0
80,Sol,Nao,Rico,Tenis,0,0,1,0
81,Chuva,Nao,Pobre,Cinema,2,0,0,0
82,Chuva,Sim,Pobre,Cinema,2,1,0,0
83,Sol,Nao,Rico,Tenis,0,0,1,0
84,Chuva,Sim,Rico,Cinema,2,1,1,0
85,Vento,Nao,Pobre,Cinema,1,0,0,0
86,Vento,Sim,Pobre,Cinema,1,1,0,0
87,Chuva,Sim,Pobre,Cinema,2,1,0,0
88,Chuva,Sim,Rico,Cinema,2,1,1,0
89,Chuva,Sim,Rico,Cinema,2,1,1,0
90,Vento,Nao,Rico,Compras,1,0,1,0
91,Sol,Nao,Rico,Tenis,0,0,1,0
92,Chuva,Nao,Rico,Compras,2,0,1,1
93,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
94,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
95,Vento,Nao,Rico,Compras,1,0,1,0
96,Vento,Nao,Rico,Compras,1,0,1,0
97,Vento,Nao,Rico,Compras,1,0,1,0
98,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
99,Vento,Nao,Pobre,Cinema,1,0,0,0
100,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
101,Vento,Sim,Pobre,Cinema,1,1,0,0
102,Vento,Nao,Rico,Tenis,1,0,1,1
103,Vento,Nao,Rico,Compras,1,0,1,0
104,Vento,Nao,Rico,Compras,1,0,1,0
105,Sol,Nao,Pobre,Cinema,0,0,0,0
106,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
107,Vento,Sim,Rico,Cinema,1,1,1,0
108,Sol,Sim,Rico,Cinema,0,1,1,0
109,Vento,Sim,Pobre,Cinema,1,1,0,0
110,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
111,Vento,Sim,Pobre,Cinema,1,1,0,0
112,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
113,Vento,Sim,Rico,Cinema,1,1,1,0
114,Sol,Sim,Pobre,Cinema,0,1,0,0
115,Sol,Sim,Rico,Cinema,0,1,1,0
116,Vento,Sim,Rico,Compras,1,1,1,1
117,Vento,Nao,Pobre,Ficar em casa,1,0,0,1
118,Vento,Sim,Rico,Cinema,1,1,1,0
119,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
120,Vento,Nao,Rico,Compras,1,0,1,0
121,Vento,Sim,Rico,Cinema,1,1,1,0
122,Vento,Sim,Rico,Cinema,1,1,1,0
123,Vento,Sim,Rico,Cinema,1,1,1,0
124,Sol,Nao,Rico,Tenis,0,0,1,0
125,Sol,Sim,Rico,Cinema,0,1,1,0
126,Chuva,Sim,Pobre,Cinema,2,1,0,0
127,Sol,Sim,Rico,Cinema,0,1,1,0
128,Chuva,Sim,Rico,Cinema,2,1,1,0
129,Vento,Nao,Pobre,Cinema,1,0,0,0
130,Sol,Sim,Rico,Cinema,0,1,1,0
131,Vento,Sim,Rico,Cinema,1,1,1,0
132,Sol,Nao,Pobre,Cinema,0,0,0,0
133,Chuva,Nao,Rico,Tenis,2,0,1,1
134,Vento,Nao,Rico,Compras,1,0,1,0
135,Sol,Nao,Pobre,Cinema,0,0,0,0
136,Vento,Sim,Rico,Cinema,1,1,1,0
137,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
138,Vento,Sim,Rico,Compras,1,1,1,1
139,Chuva,Sim,Pobre,Cinema,2,1,0,0
140,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
141,Chuva,Sim,Pobre,Cinema,2,1,0,0
142,Vento,Sim,Pobre,Cinema,1,1,0,0
143,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
144,Sol,Sim,Rico,Cinema,0,1,1,0
145,Sol,Nao,Rico,Tenis,0,0,1,0
146,Chuva,Sim,Pobre,Cinema,2,1,0,0
